"Exness","Symbol","Timestamp","Bid","Ask"
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:07.452Z",102157.03,102157.03
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:07.527Z",102159.43,102159.43
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:07.794Z",102162.95,102162.95
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:09.935Z",102164.81,102164.81
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:10.529Z",102166.67,102166.67
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:11.108Z",102173.72,102173.72
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:11.135Z",102178.46,102178.46
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:11.852Z",102169.11,102169.11
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:13.760Z",102168.94,102168.94
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:13.783Z",102166.34,102166.34
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:14.483Z",102160.18,102160.18
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:14.555Z",102155.89,102155.89
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:15.127Z",102154.87,102154.87
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:16.286Z",102154.56,102154.56
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:16.612Z",102149.71,102149.71
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:17.023Z",102145.6,102145.6
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:23.364Z",102145.5,102145.5
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:24.485Z",102145.63,102145.63
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:26.452Z",102148.4,102148.4
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:27.220Z",102146.0,102146.0
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:28.283Z",102147.91,102147.91
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:28.424Z",102151.01,102151.01
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:31.150Z",102152.64,102152.64
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:31.664Z",102156.68,102156.68
